name,category,UI,dev,joy,Windows,Darwin,Debian,windows_message,darwin_message,debian_mssage,positive_rule,negative_rule,citation,location,config_file
Gnu-tools,base,C,?,,,?,,,,,,,,,
Xcode,base,G,?,,,M:497799835#Xcode,,,,,,,,,
Chromium,browser,G,?,?,https://api.github.com/repos/Hibbiki/chromium-win64/releases/latest,?,s:chromium,,,,,,,,
Google-Chrome,browser,G,,?,http://dl.google.com/chrome/install/latest/chrome_installer.exe,?,http://dl.google.com/chrome/install/latest/chrome_installer.deb,,,,,,,,
Firefox,browser,G,,?,https://download.mozilla.org/?product=firefox-latest-ssl&os=win64&lang=en-US,https://download.mozilla.org/?product=firefox-latest-ssl&os=osx&lang=en-US,,,,,,,,,
vivaldi,browser,G,,?,https://downloads.vivaldi.com/stable/Vivaldi.3.2.1967.47.exe,?,?,not latest,,,,,https://gist.github.com/ruario/dcbba70da900dac68fcc883542ff7ace,,
sudo,D-tool,C,?,,sudo,,,,,,,,,,
Docker,D-tool,B,?,,https://download.docker.com/win/stable/Docker%20Desktop%20Installer.exe,https://download.docker.com/mac/stable/Docker.dmg,?,,,,,,,,
pandoc,D-tool,C,?,,https://api.github.com/repos/jgm/pandoc/releases/latest,Pandoc,Pandoc,,,,,,,,
peco,D-tool,C,?,,,peco,peco,,,,,,,,
rigrep,D-tool,C,?,,,ripgrep,ripgrep,,,,,,,,
tmux,D-tool,C,?,,,tmux,tmux,,,,,,,,
Wget,D-tool,C,?,,,Wget,Wget,,,,,,,,
cURL,D-tool,C,?,,,cURL,cURL,,,,,,,,
Aria2,D-tool,C,?,,,Aria2,Aria2,,,,,,,,
git,D-tool,B,?,,https://api.github.com/repos/git-for-windows/git/releases,git,git,,,,,"mingit, portable",,,
jdk8,D-tool,C,?,,JDK8 JRE8,C:Java,,,,,,,,,
ssh,D-tool,C,?,,,,ssh-server,,,,,,,,
gitkraken,D-tool,G,?,,https://release.gitkraken.com/win64/GitKrakenSetup.exe,https://release.gitkraken.com/darwin/installGitKraken.dmg,https://release.gitkraken.com/linux/gitkraken-amd64.deb,,,,,,,,
GVim,editor,G,?,,https://api.github.com/repos/koron/vim-kaoriya/releases/latest,C:MacVim,Vim-gnome,,,,,,,w:tools,
VS-Code,editor,G,?,,https://aka.ms/win32-x64-user-stable,?,?,,,,,,,,
Fluid,Env,G,,?,,C:Fluid,,,,,,,,,
GodMode,Env,G,,?,s:GodMode,,,,,,,,,,
rapidEE,Env,G,?,,https://www.rapidee.com/download/RapidEE_setup.exe,,,,,,,,,,
skk,Env,G,?,?,https://api.github.com/repos/nathancorvussolis/corvusskk/releases,c:AquaSKK,ibus-skkskkdicibus-mozc,,,,,,,,
Shells,Env,C,?,,https://repo.msys2.org/distrib/x86_64/msys2-x86_64-20200720.exe,fish,fish,not latest,,,,,,,
Terminals,Env,G,?,,,Alacritty,Alacritty,WindowsTerminal is good,,,,,,,
Keyboard,Env,G,,?,https://www.autohotkey.com/download/ahk-install.exe,C:Karabiner-elements,,,,,,,,,
cica,font,B,?,,https://api.github.com/repos/miiton/Cica/releases,https://api.github.com/repos/miiton/Cica/releases,https://api.github.com/repos/miiton/Cica/releases,,,,with_emoji,,,,
IPA,font,B,?,,https://ipafont.ipa.go.jp/IPAexfont/IPAexfont00401.zip,https://ipafont.ipa.go.jp/IPAexfont/IPAexfont00401.zip,fonts-ipafontfonts-ipaexfont,,,,,,,,
Noto,font,B,?,,https://noto-website-2.storage.googleapis.com/pkgs/Noto-unhinted.zip,https://noto-website-2.storage.googleapis.com/pkgs/Noto-unhinted.zip,,,,,,,,,
7zip,Media,B,?,?,https://www.7-zip.org/a/7z1900-x64.msi,?,p7zip-full,not latest,,,,,,,
TheUnarchiver,Media,G,?,?,,M:425424353#TheUnarchiver,,,,,,,,,
Kindle,Media,G,,?,https://www.amazon.com/kindlepcdownload/ref=s9_acss_bw_cg_3PLP1_3d1_w?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=4YWXKBN2KRMJPZSVA7AE&pf_rd_t=101&pf_rd_p=072f4863-773b-4f2b-b8ab-301e30c7b7dd&pf_rd_i=16571048011,M:405399194#kindle,,not latest,,,,,,,
Sync,Media,G,,?,https://www.sync.com/download/win/sync-installer.exe,C:Sync,?,,,,,,,,
controller,Media,G,,?,https://api.github.com/repos/AntiMicro/antimicro/releases,c:enjoyable,,,,,,,,,
VLC,Media,G,,?,https://api.github.com/repos/videolan/vlc/releases,C:VLC,VLC,,,,,,,,
pdf-reader,Media,G,,?,https://www.sumatrapdfreader.org/dl2/SumatraPDF-3.2-64-install.exe,?,Evince,not latest,,,,,,,
spotify,Media,G,,?,https://download.scdn.co/SpotifySetup.exe,?,?,,,,,,,,
torrent,Media,G,,?,qBittorrent,?,?,,,,,,,,
X-mind,Media,G,,?,https://www.xmind.net/zen/download/,?,?,,,,,,,,
mailspring,Media,G,,?,https://updates.getmailspring.com/download?platform=win32,https://updates.getmailspring.com/download?platform=darwin,https://updates.getmailspring.com/download?platform=linuxDeb,,,,,,,,
NodeJS,P-lang,C,?,?,NodeJS-LTS,Node,NodeJS,,,,,,,,
python3,P-lang,C,?,,https://www.python.org/ftp/python/3.8.5/python-3.8.5-amd64.exe,Python,Python3 Python3-dev,ver 3.8.5,,,,,,,
Haskell,P-lang,C,?,,haskell-dev,?,?,,,,,,,,
anaconda,P-lang,G,?,,anaconda,?,?,,,,,,,,
cpp,P-lang,B,?,,https://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=Community,?,?,,,,,,,,
ruby,P-lang,C,?,,ruby,?,ruby,,,,,,,,
perl,P-lang,C,?,,strawberryperl,?,?,,,,,,,,
golang,P-lang,C,?,,,,golang-go,,,,,,,,
rust,P-lang,C,?,,https://static.rust-lang.org/rustup/dist/x86_64-pc-windows-msvc/rustup-init.exe,?,?,,,,,,,,
Cleaner,Tool,G,,?,https://download.ccleaner.com/ccsetup570.exe,C:AppCleaner,,not latest,,,,,,,
Amphetamine,Tool,G,,?,,M:937984704#Amphetamine,,,,,,,,,
lancher,Tool,G,,?,https://api.github.com/repos/Wox-launcher/Wox/releases,M:405843582#Alferd,s:Albert-install,,,,,,,,
Magnet,Tool,G,,?,?,?,M:441258766#Magnet,,,,,,,,
slack,Tool,G,,?,https://slack.com/ssb/download-win64,M:803453959#Slack,https://slack.com/downloads/linux,,,,,,,,
Everything,Tool,G,,?,https://www.voidtools.com/Everything-1.4.1.988.x64-Setup.exe,,,not latest,,,,,,,
discord,Tool,G,,?,https://discord.com/api/download?platform=win,?,?,,,,,,,,
Recoder,Tool,G,,?,https://www.cockos.com/licecap/licecap128-install.exe,https://www.cockos.com/licecap/licecap130.dmg,simplescreenrecorder,,,,,,,,
